Modelo,MSE,RMSE,MAE,R²
Regresión Lineal,32.171,5.672,3.807,0.67
Gradiente Descendiente,32.173,5.672,3.807,0.67
Gradiente Descendiente OPT,31.57418429277078,5.619091055746542,3.813845427552806,0.6762310671816024
Gradiente Descendiente Estocastico,70.146,8.375,6.003,0.281
Gradiente Descendiente Mini Batch,31.712,5.631,3.793,0.675
Ridge,32.171,5.672,3.807,0.6701071694072063
Ridge OPT,32.16973765654282,5.67183723819212,3.8072926780077365,0.6762310671816024
Lasso,32.154,5.67,3.806,0.6701071694072063
Lasso OPT,98.95496810699373,9.947611175905184,7.495691080039025,0.07363440473384475
ElasticNet,32.154,5.67,3.806,0.6701071694072063
